model,registration,gear,fuel,tax,mpg,engineSize,make,car_age,price,mileage,car,class
A1,2020,Semi-Auto,Petrol,145,44.8,1.5,Audi,3,25410.6,646.818,Audi A1,Small car
A3,2013,Manual,Petrol,125,53.3,1.4,Audi,10,9687.72,94717.003,Audi A3,Small family car
A1,2016,Manual,Petrol,0,67.3,1.0,Audi,7,12767.999999999998,47978.771,Audi A1,Small car
Q3,2018,Manual,Diesel,150,56.5,2.0,Audi,5,22788.6,36146.185,Audi Q3,Compact SUV
A3,2017,Manual,Petrol,30,60.1,1.4,Audi,6,21026.16,29832.469,Audi A3,Small family car
A1,2017,Manual,Petrol,150,57.6,1.4,Audi,6,14186.159999999998,26448.742,Audi A1,Small car
A1,2015,Manual,Petrol,30,58.9,1.4,Audi,8,14589.72,43138.899,Audi A1,Small car
A5,2017,Manual,Diesel,30,64.2,2.0,Audi,6,18807.719999999998,111014.564,Audi A5,Large family car
A3,2017,Manual,Petrol,145,60.1,1.4,Audi,6,19665.0,38123.646,Audi A3,Small family car
A3,2017,Manual,Diesel,145,65.7,2.0,Audi,6,21648.6,33998.17,Audi A3,Small family car
A1,2019,Automatic,Petrol,145,46.3,1.0,Audi,4,21532.32,6436.0,Audi A1,Small car
Q3,2019,Semi-Auto,Diesel,145,48.7,2.0,Audi,4,30778.859999999997,10458.5,Audi Q3,Compact SUV
A1,2020,Semi-Auto,Petrol,145,44.8,1.5,Audi,3,26092.319999999996,6436.0,Audi A1,Small car
A1,2020,Manual,Petrol,145,48.7,1.0,Audi,3,22218.6,2413.5,Audi A1,Small car
A3,2015,Semi-Auto,Diesel,125,58.9,2.0,Audi,8,15954.3,72887.7,Audi A3,Small family car
Q3,2017,Manual,Diesel,145,54.3,2.0,Audi,6,23364.3,32582.25,Audi Q3,Compact SUV
A3,2017,Semi-Auto,Petrol,30,56.5,1.4,Audi,6,20508.6,40764.015,Audi A3,Small family car
Q3,2014,Semi-Auto,Diesel,200,47.9,2.0,Audi,9,13725.599999999999,91071.009,Audi Q3,Compact SUV
A5,2013,Manual,Diesel,30,61.4,2.0,Audi,10,11901.599999999999,80649.516,Audi A5,Large family car
Q3,2014,Manual,Petrol,235,38.7,2.0,Audi,9,15729.72,43092.238,Audi Q3,Compact SUV
Q3,2015,Manual,Diesel,145,56.5,2.0,Audi,8,16299.72,61833.87,Audi Q3,Compact SUV
Q3,2017,Manual,Petrol,145,51.4,1.4,Audi,6,22227.719999999998,32356.989999999998,Audi Q3,Compact SUV
Q3,2015,Manual,Diesel,30,61.4,2.0,Audi,8,15957.72,59475.076,Audi Q3,Compact SUV
A5,2017,Semi-Auto,Petrol,145,45.6,2.0,Audi,6,27120.6,47735.812,Audi A5,Large family car
Q3,2015,Semi-Auto,Petrol,205,40.4,2.0,Audi,8,22794.3,42702.86,Audi Q3,Compact SUV
A1,2016,Manual,Petrol,0,67.3,1.0,Audi,7,11964.3,69187.0,Audi A1,Small car
A3,2015,Manual,Diesel,20,67.3,2.0,Audi,8,14817.72,106335.592,Audi A3,Small family car
A1,2015,Manual,Petrol,235,39.8,2.0,Audi,8,16165.199999999999,93680.807,Audi A1,Small car
A3,2019,Semi-Auto,Petrol,145,42.2,1.5,Audi,4,23814.6,20804.37,Audi A3,Small family car
A1,2015,Manual,Petrol,30,55.4,1.4,Audi,8,12824.999999999998,84535.251,Audi A1,Small car
A1,2013,Manual,Petrol,125,52.3,1.4,Audi,10,9678.599999999999,91526.356,Audi A1,Small car
Q3,2017,Manual,Petrol,145,49.6,1.4,Audi,6,21315.719999999998,35711.755,Audi Q3,Compact SUV
Q3,2016,Manual,Diesel,145,52.3,2.0,Audi,7,19947.719999999998,47629.618,Audi Q3,Compact SUV
Q3,2019,Semi-Auto,Diesel,145,45.6,2.0,Audi,4,40912.32,2986.304,Audi Q3,Compact SUV
Q3,2015,Semi-Auto,Diesel,160,50.4,2.0,Audi,8,20517.719999999998,49616.733,Audi Q3,Compact SUV
A3,2017,Manual,Petrol,145,60.1,1.4,Audi,6,15270.3,61142.0,Audi A3,Small family car
A3,2014,Automatic,Petrol,20,60.1,1.4,Audi,9,13674.3,42799.4,Audi A3,Small family car
A3,2017,Semi-Auto,Petrol,145,47.9,2.0,Audi,6,23934.3,16049.775,Audi A3,Small family car
A3,2016,Manual,Diesel,0,74.3,1.6,Audi,7,11967.72,109885.046,Audi A3,Small family car
Q3,2016,Manual,Diesel,30,61.4,2.0,Audi,7,16527.719999999998,47858.096,Audi Q3,Compact SUV
A3,2016,Manual,Diesel,0,74.3,1.6,Audi,7,11739.72,109346.031,Audi A3,Small family car
Q3,2017,Semi-Auto,Petrol,145,47.9,1.4,Audi,6,21087.719999999998,27373.917,Audi Q3,Compact SUV
A1,2013,Semi-Auto,Petrol,125,53.3,1.4,Audi,10,10943.999999999998,94243.957,Audi A1,Small car
A1,2016,Manual,Petrol,30,55.4,1.4,Audi,7,12879.72,62784.789,Audi A1,Small car
A5,2014,Manual,Diesel,145,55.4,2.0,Audi,9,14244.3,72372.81999999999,Audi A5,Large family car
A5,2015,Manual,Petrol,145,48.7,1.8,Audi,8,14814.3,67042.203,Audi A5,Large family car
A5,2016,Manual,Diesel,125,57.6,2.0,Audi,7,21999.719999999998,27790.648,Audi A5,Large family car
A5,2016,Semi-Auto,Diesel,160,50.4,2.0,Audi,7,27357.719999999998,24120.519,Audi A5,Large family car
A3,2014,Manual,Petrol,30,57.6,1.2,Audi,9,12537.72,86345.376,Audi A3,Small family car
A3,2016,Manual,Diesel,20,72.4,1.6,Audi,7,9915.72,59730.907,Audi A3,Small family car
A5,2015,Semi-Auto,Diesel,125,58.9,2.0,Audi,8,18009.719999999998,67225.629,Audi A5,Large family car
A3,2019,Automatic,Petrol,145,44.8,1.5,Audi,4,24452.999999999996,5937.21,Audi A3,Small family car
A3,2019,Manual,Diesel,145,56.5,2.0,Audi,4,22672.32,9913.048999999999,Audi A3,Small family car
A3,2017,Semi-Auto,Diesel,145,56.5,2.0,Audi,6,22797.719999999998,32564.551,Audi A3,Small family car
A3,2016,Manual,Diesel,20,67.3,2.0,Audi,7,15957.72,90839.313,Audi A3,Small family car
Q3,2017,Manual,Petrol,145,49.6,1.4,Audi,6,21659.999999999996,30085.082,Audi Q3,Compact SUV
A3,2016,Manual,Petrol,20,60.1,1.4,Audi,7,18240.0,27090.733,Audi A3,Small family car
A1,2019,Manual,Petrol,150,51.4,1.0,Audi,4,21648.6,4670.927,Audi A1,Small car
A1,2019,Semi-Auto,Petrol,150,40.9,2.0,Audi,4,24840.6,7166.486,Audi A1,Small car
A1,2019,Semi-Auto,Petrol,145,40.9,2.0,Audi,4,24446.159999999996,10128.655,Audi A1,Small car
Q3,2015,Manual,Diesel,145,52.3,2.0,Audi,8,19377.719999999998,38551.64,Audi Q3,Compact SUV
A3,2017,Manual,Petrol,20,60.1,1.0,Audi,6,15384.3,19945.164,Audi A3,Small family car
A3,2017,Manual,Petrol,20,62.8,1.4,Audi,6,13104.3,83458.83,Audi A3,Small family car
A1,2016,Manual,Petrol,0,67.3,1.0,Audi,7,11394.3,46323.11,Audi A1,Small car
Q3,2017,Manual,Diesel,145,56.5,2.0,Audi,6,22224.3,30525.948,Audi Q3,Compact SUV
A5,2018,Semi-Auto,Diesel,145,62.8,2.0,Audi,5,25986.3,35386.737,Audi A5,Large family car
A3,2017,Manual,Diesel,145,65.7,2.0,Audi,6,17664.3,79598.83899999999,Audi A3,Small family car
A5,2017,Manual,Petrol,145,49.6,2.0,Audi,6,23312.999999999996,20881.602,Audi A5,Large family car
A3,2019,Semi-Auto,Petrol,145,41.5,1.5,Audi,4,26829.899999999998,20696.567,Audi A3,Small family car
A3,2019,Automatic,Petrol,145,41.5,1.5,Audi,4,24366.359999999997,23362.68,Audi A3,Small family car
A3,2019,Semi-Auto,Petrol,145,41.5,1.5,Audi,4,26690.819999999996,20870.339,Audi A3,Small family car
A1,2019,Semi-Auto,Petrol,145,47.1,1.0,Audi,4,24753.96,4733.678,Audi A1,Small car
A3,2019,Manual,Diesel,145,55.4,2.0,Audi,4,24452.999999999996,11769.835,Audi A3,Small family car
A1,2019,Semi-Auto,Petrol,145,40.4,2.0,Audi,4,29512.319999999996,22.526,Audi A1,Small car
A3,2017,Semi-Auto,Petrol,30,57.6,1.4,Audi,6,18981.0,23671.608,Audi A3,Small family car
A1,2020,Manual,Petrol,145,49.6,1.0,Audi,3,22166.16,6436.0,Audi A1,Small car
Q3,2016,Manual,Petrol,125,50.4,1.4,Audi,7,18234.3,36226.635,Audi Q3,Compact SUV
A3,2017,Manual,Diesel,145,70.6,1.6,Audi,6,15726.3,29692.486,Audi A3,Small family car
A3,2017,Semi-Auto,Petrol,20,62.8,1.0,Audi,6,14358.3,58942.497,Audi A3,Small family car
Q3,2016,Semi-Auto,Petrol,145,47.9,1.4,Audi,7,15954.3,93975.254,Audi Q3,Compact SUV
Q3,2016,Manual,Diesel,145,52.3,2.0,Audi,7,19836.0,34321.579,Audi Q3,Compact SUV
Q3,2017,Manual,Petrol,125,51.4,1.4,Audi,6,20292.0,23663.563,Audi Q3,Compact SUV
A1,2016,Manual,Petrol,30,55.4,1.4,Audi,7,13668.599999999999,44578.954,Audi A1,Small car
A3,2016,Manual,Diesel,20,67.3,2.0,Audi,7,15104.999999999998,49763.152,Audi A3,Small family car
A1,2019,Manual,Petrol,145,47.9,1.0,Audi,4,22672.32,5364.406,Audi A1,Small car
A3,2019,Manual,Petrol,145,49.6,1.0,Audi,4,22218.6,4009.628,Audi A3,Small family car
A1,2016,Manual,Diesel,0,80.7,1.6,Audi,7,11280.3,120979.101,Audi A1,Small car
Q3,2016,Manual,Diesel,30,60.1,2.0,Audi,7,17778.3,84961.636,Audi Q3,Compact SUV
A3,2016,Manual,Diesel,20,70.6,1.6,Audi,7,13104.3,89371.905,Audi A3,Small family car
A3,2017,Manual,Diesel,0,74.3,1.6,Audi,6,13674.3,110446.587,Audi A3,Small family car
A3,2015,Manual,Diesel,0,74.3,1.6,Audi,8,10938.3,114778.015,Audi A3,Small family car
Q3,2017,Semi-Auto,Diesel,145,55.4,2.0,Audi,6,20172.3,75400.958,Audi Q3,Compact SUV
A1,2016,Manual,Diesel,0,80.7,1.6,Audi,7,11850.3,85984.96,Audi A1,Small car
A1,2016,Manual,Diesel,0,80.7,1.6,Audi,7,11964.3,73939.986,Audi A1,Small car
Q3,2017,Semi-Auto,Diesel,145,55.4,2.0,Audi,6,22167.3,40601.506,Audi Q3,Compact SUV
Q3,2016,Manual,Petrol,125,50.4,1.4,Audi,7,18063.3,35832.43,Audi Q3,Compact SUV
A5,2018,Automatic,Diesel,145,58.9,3.0,Audi,5,27924.3,65854.761,Audi A5,Large family car
Q3,2017,Manual,Petrol,145,51.4,1.4,Audi,6,20514.3,30567.782,Audi Q3,Compact SUV
A3,2020,Manual,Diesel,145,55.4,2.0,Audi,3,27354.3,2510.04,Audi A3,Small family car
A3,2018,Manual,Petrol,145,47.1,1.0,Audi,5,21654.3,9435.176,Audi A3,Small family car
A3,2017,Manual,Petrol,20,60.1,1.0,Audi,6,15612.3,42498.517,Audi A3,Small family car
A5,2014,Semi-Auto,Diesel,150,53.3,2.0,Audi,9,14814.3,134300.012,Audi A5,Large family car
A1,2016,Manual,Petrol,30,56.5,1.4,Audi,7,14814.3,48467.907,Audi A1,Small car
A3,2016,Manual,Petrol,125,52.3,1.4,Audi,7,14580.599999999999,61690.669,Audi A3,Small family car
A1,2020,Semi-Auto,Petrol,145,44.8,1.5,Audi,3,26208.6,1917.9279999999999,Audi A1,Small car
A1,2019,Manual,Petrol,145,47.9,1.0,Audi,4,23192.159999999996,4590.477,Audi A1,Small car
A1,2019,Manual,Petrol,145,47.9,1.0,Audi,4,22672.32,6318.543,Audi A1,Small car
A1,2017,Manual,Diesel,0,76.3,1.6,Audi,6,13446.3,44157.396,Audi A1,Small car
A1,2017,Manual,Petrol,0,67.3,1.0,Audi,6,15104.999999999998,16760.953,Audi A1,Small car
A3,2019,Automatic,Diesel,145,53.3,1.6,Audi,4,25079.999999999996,14572.713,Audi A3,Small family car
Q3,2019,Manual,Petrol,145,41.5,1.5,Audi,4,32932.32,4463.366,Audi Q3,Compact SUV
A3,2015,Manual,Diesel,0,74.3,1.6,Audi,8,11052.3,95252.8,Audi A3,Small family car
A3,2018,Semi-Auto,Petrol,145,43.5,2.0,Audi,5,33054.299999999996,14620.983,Audi A3,Small family car
A5,2015,Automatic,Petrol,160,44.1,1.8,Audi,8,17955.0,96356.574,Audi A5,Large family car
A5,2017,Semi-Auto,Petrol,30,53.3,2.0,Audi,6,25592.999999999996,26501.839,Audi A5,Large family car
A5,2017,Manual,Diesel,30,64.2,2.0,Audi,6,22514.999999999996,32476.056,Audi A5,Large family car
A5,2017,Semi-Auto,Diesel,125,60.1,3.0,Audi,6,26778.6,33613.619,Audi A5,Large family car
Q3,2014,Manual,Diesel,165,49.6,2.0,Audi,9,13104.3,122039.432,Audi Q3,Compact SUV
Q3,2018,Semi-Auto,Petrol,145,48.7,1.4,Audi,5,25644.3,40826.766,Audi Q3,Compact SUV
A3,2018,Manual,Petrol,145,54.3,1.5,Audi,5,21654.3,19871.15,Audi A3,Small family car
A5,2016,Automatic,Petrol,260,35.8,3.0,Audi,7,26214.3,23888.823,Audi A5,Large family car
A1,2013,Manual,Petrol,125,53.3,1.4,Audi,10,11394.3,77232.0,Audi A1,Small car
A1,2016,Manual,Petrol,30,56.5,1.4,Audi,7,14814.3,34854.158,Audi A1,Small car
A3,2016,Manual,Diesel,0,74.3,1.6,Audi,7,13440.599999999999,47969.117,Audi A3,Small family car
A3,2013,Automatic,Petrol,125,50.4,1.8,Audi,10,13052.999999999998,98792.6,Audi A3,Small family car
A3,2015,Semi-Auto,Diesel,20,70.6,1.6,Audi,8,12984.599999999999,77544.146,Audi A3,Small family car
A3,2015,Manual,Diesel,20,70.6,1.6,Audi,8,11388.599999999999,98861.787,Audi A3,Small family car
A5,2017,Semi-Auto,Diesel,30,62.8,2.0,Audi,6,22788.6,82449.987,Audi A5,Large family car
A1,2018,Semi-Auto,Petrol,145,64.2,1.0,Audi,5,15384.3,2643.587,Audi A1,Small car
A3,2017,Manual,Petrol,150,62.8,1.0,Audi,6,13560.3,45589.406,Audi A3,Small family car
Q3,2017,Semi-Auto,Petrol,150,47.9,1.4,Audi,6,20514.3,25608.844,Audi Q3,Compact SUV
A1,2014,Manual,Petrol,125,53.3,1.4,Audi,9,9450.599999999999,109471.533,Audi A1,Small car
A3,2016,Manual,Diesel,20,70.6,1.6,Audi,7,11394.3,79450.811,Audi A3,Small family car
A5,2013,Manual,Petrol,150,49.6,1.8,Audi,10,12254.999999999998,62751.0,Audi A5,Large family car
A3,2014,Manual,Petrol,30,57.6,1.2,Audi,9,9804.0,118618.698,Audi A3,Small family car
A1,2015,Manual,Petrol,30,55.4,1.4,Audi,8,10829.999999999998,120515.709,Audi A1,Small car
A3,2016,Semi-Auto,Diesel,20,72.4,1.6,Audi,7,13332.3,93962.382,Audi A3,Small family car
A3,2017,Semi-Auto,Petrol,145,60.1,1.0,Audi,6,18807.719999999998,3253.398,Audi A3,Small family car
Q3,2015,Semi-Auto,Diesel,160,50.4,2.0,Audi,8,20175.719999999998,61119.474,Audi Q3,Compact SUV
A1,2017,Semi-Auto,Petrol,150,56.5,1.4,Audi,6,15957.72,44241.064,Audi A1,Small car
Q3,2017,Manual,Petrol,145,51.4,1.4,Audi,6,19368.6,35372.256,Audi Q3,Compact SUV
Q3,2017,Semi-Auto,Petrol,145,40.4,2.0,Audi,6,24604.62,74120.194,Audi Q3,Compact SUV
A3,2019,Semi-Auto,Petrol,145,42.2,1.5,Audi,4,24498.6,11060.266,Audi A3,Small family car
A3,2019,Semi-Auto,Diesel,145,52.3,1.6,Audi,4,26216.579999999998,8045.0,Audi A3,Small family car
A1,2015,Manual,Diesel,0,80.7,1.6,Audi,8,12216.24,55697.144,Audi A1,Small car
A3,2019,Manual,Diesel,145,51.4,1.6,Audi,4,20167.739999999998,20379.594,Audi A3,Small family car
A5,2019,Semi-Auto,Petrol,145,39.8,2.0,Audi,4,29628.6,3956.531,Audi A5,Large family car
A5,2019,Semi-Auto,Petrol,145,39.8,2.0,Audi,4,33390.6,2931.598,Audi A5,Large family car
A5,2019,Automatic,Petrol,145,39.8,2.0,Audi,4,31339.739999999998,8045.0,Audi A5,Large family car
Q3,2019,Semi-Auto,Diesel,145,47.1,2.0,Audi,4,30754.92,17341.802,Audi Q3,Compact SUV
A5,2019,Semi-Auto,Petrol,145,39.8,2.0,Audi,4,30768.6,18469.711,Audi A5,Large family car
A3,2016,Manual,Diesel,20,70.6,1.6,Audi,7,20463.0,93322.0,Audi A3,Small family car
Q3,2017,Manual,Petrol,125,51.4,1.4,Audi,6,19947.719999999998,34151.025,Audi Q3,Compact SUV
A3,2016,Manual,Petrol,125,53.3,1.4,Audi,7,12537.72,65991.526,Audi A3,Small family car
A3,2016,Manual,Diesel,0,74.3,1.6,Audi,7,19323.0,107803.0,Audi A3,Small family car
A3,2017,Manual,Petrol,30,57.6,1.4,Audi,6,18234.3,46640.083,Audi A3,Small family car
A3,2017,Manual,Petrol,145,62.8,1.0,Audi,6,13560.3,49716.491,Audi A3,Small family car
Q3,2018,Manual,Petrol,145,51.4,1.4,Audi,5,21659.999999999996,18423.05,Audi Q3,Compact SUV
A5,2019,Semi-Auto,Petrol,145,39.8,2.0,Audi,4,31758.12,8045.0,Audi A5,Large family car
A5,2019,Semi-Auto,Petrol,145,39.8,2.0,Audi,4,31908.6,80.45,Audi A5,Large family car
Q3,2019,Semi-Auto,Diesel,145,48.7,2.0,Audi,4,31908.6,9654.0,Audi Q3,Compact SUV
A5,2015,Semi-Auto,Diesel,125,60.1,2.0,Audi,8,14238.599999999999,84242.413,Audi A5,Large family car
A3,2015,Manual,Diesel,0,74.3,1.6,Audi,8,11397.72,44875.01,Audi A3,Small family car
A1,2013,Manual,Petrol,125,52.3,1.4,Audi,10,10257.72,86128.161,Audi A1,Small car
A1,2015,Semi-Auto,Diesel,0,76.3,1.6,Audi,8,13677.72,19753.693,Audi A1,Small car
A3,2016,Semi-Auto,Diesel,125,57.6,2.0,Audi,7,20371.8,68115.406,Audi A3,Small family car
Q3,2018,Semi-Auto,Petrol,150,40.4,2.0,Audi,5,27903.78,42458.292,Audi Q3,Compact SUV
A1,2018,Manual,Petrol,150,47.9,1.0,Audi,5,17430.6,34807.497,Audi A1,Small car
A3,2019,Semi-Auto,Petrol,150,34.9,2.0,Audi,4,33618.6,571.195,Audi A3,Small family car
A3,2016,Semi-Auto,Diesel,125,57.6,2.0,Audi,7,18579.719999999998,69209.526,Audi A3,Small family car
Q3,2017,Manual,Petrol,145,49.6,1.4,Audi,6,22797.719999999998,24857.441,Audi Q3,Compact SUV
A1,2016,Manual,Petrol,30,55.4,1.4,Audi,7,12539.999999999998,38144.563,Audi A1,Small car
A3,2016,Semi-Auto,Diesel,20,70.6,1.6,Audi,7,13314.06,71915.864,Audi A3,Small family car
A1,2017,Manual,Petrol,30,55.4,1.4,Audi,6,16414.859999999997,40495.312,Audi A1,Small car
Q3,2019,Semi-Auto,Petrol,150,37.2,1.5,Audi,4,36924.6,23491.4,Audi Q3,Compact SUV
Q3,2015,Semi-Auto,Diesel,150,55.4,2.0,Audi,8,18798.6,30210.584,Audi Q3,Compact SUV
A3,2015,Semi-Auto,Diesel,20,70.6,1.6,Audi,8,18237.719999999998,38809.08,Audi A3,Small family car
A1,2016,Manual,Petrol,0,67.3,1.0,Audi,7,13335.72,38640.135,Audi A1,Small car
A3,2018,Manual,Petrol,145,58.9,1.4,Audi,5,21657.719999999998,14670.862,Audi A3,Small family car
A3,2018,Manual,Petrol,145,42.2,1.5,Audi,5,23913.78,16162.405,Audi A3,Small family car
A1,2016,Manual,Petrol,0,67.3,1.0,Audi,7,12448.8,39903.2,Audi A1,Small car
A5,2016,Manual,Diesel,20,67.3,2.0,Audi,7,13564.859999999999,75273.847,Audi A5,Large family car
A1,2017,Manual,Petrol,145,67.3,1.0,Audi,6,12769.14,28036.825,Audi A1,Small car
A3,2017,Manual,Petrol,150,55.4,1.5,Audi,6,20502.899999999998,44554.819,Audi A3,Small family car
A3,2016,Semi-Auto,Petrol,30,56.5,1.4,Audi,7,20289.719999999998,41920.886,Audi A3,Small family car
A1,2016,Manual,Petrol,235,39.8,2.0,Audi,7,20289.719999999998,30760.862,Audi A1,Small car
Q3,2017,Semi-Auto,Petrol,145,40.4,2.0,Audi,6,29067.719999999998,25869.502,Audi Q3,Compact SUV
A3,2017,Manual,Petrol,30,60.1,1.4,Audi,6,20517.719999999998,31132.541,Audi A3,Small family car
A3,2019,Semi-Auto,Diesel,150,52.3,1.6,Audi,4,26526.659999999996,9114.985,Audi A3,Small family car
A1,2015,Manual,Diesel,0,80.7,1.6,Audi,8,10714.859999999999,82775.005,Audi A1,Small car
A5,2013,Manual,Diesel,30,60.1,2.0,Audi,10,14409.599999999999,74049.398,Audi A5,Large family car
Q3,2017,Semi-Auto,Diesel,150,55.4,2.0,Audi,6,23139.719999999998,19504.298,Audi Q3,Compact SUV
Q3,2016,Manual,Petrol,150,49.6,1.4,Audi,7,19719.719999999998,51737.395,Audi Q3,Compact SUV
Q3,2016,Semi-Auto,Petrol,150,47.9,1.4,Audi,7,19263.719999999998,24575.865999999998,Audi Q3,Compact SUV
Q3,2015,Automatic,Diesel,160,50.4,2.0,Audi,8,16689.6,97970.401,Audi Q3,Compact SUV
A1,2016,Manual,Diesel,20,72.4,1.6,Audi,7,15025.199999999999,23687.698,Audi A1,Small car
A3,2015,Manual,Petrol,30,57.6,1.4,Audi,8,15872.22,61376.914,Audi A3,Small family car
A1,2016,Manual,Petrol,0,67.3,1.0,Audi,7,13677.72,33027.943,Audi A1,Small car
A3,2017,Semi-Auto,Petrol,30,56.5,1.4,Audi,6,21657.719999999998,31517.092,Audi A3,Small family car
A3,2017,Semi-Auto,Petrol,145,56.5,1.5,Audi,6,22227.719999999998,23190.517,Audi A3,Small family car
Q3,2017,Semi-Auto,Petrol,145,40.4,2.0,Audi,6,27129.719999999998,33739.121,Audi Q3,Compact SUV
A5,2016,Manual,Diesel,150,54.3,2.0,Audi,7,18807.719999999998,43064.885,Audi A5,Large family car
A5,2018,Semi-Auto,Diesel,145,62.8,2.0,Audi,5,28477.199999999997,16326.523,Audi A5,Large family car
Q3,2016,Manual,Petrol,145,49.6,1.4,Audi,7,19140.6,63872.473,Audi Q3,Compact SUV
A3,2014,Manual,Diesel,0,74.3,1.6,Audi,9,9439.199999999999,131064.313,Audi A3,Small family car
Q3,2016,Manual,Diesel,145,52.3,2.0,Audi,7,21991.739999999998,30767.298,Audi Q3,Compact SUV
A5,2016,Semi-Auto,Diesel,125,58.9,2.0,Audi,7,20463.0,50942.549,Audi A5,Large family car
A1,2016,Manual,Diesel,0,80.7,1.6,Audi,7,10545.0,98641.35399999999,Audi A1,Small car
A3,2016,Manual,Diesel,20,68.9,2.0,Audi,7,11399.999999999998,121170.572,Audi A3,Small family car
Q3,2016,Semi-Auto,Diesel,145,51.4,2.0,Audi,7,21226.8,49311.023,Audi Q3,Compact SUV
A1,2015,Manual,Diesel,0,80.7,1.6,Audi,8,9120.0,149250.84,Audi A1,Small car
A3,2015,Manual,Diesel,20,70.6,1.6,Audi,8,9120.0,147331.30299999999,Audi A3,Small family car
A3,2016,Manual,Diesel,0,83.1,1.6,Audi,7,9804.0,146126.162,Audi A3,Small family car
A1,2015,Manual,Diesel,0,80.7,1.6,Audi,8,9564.599999999999,86886.0,Audi A1,Small car
Q3,2013,Manual,Diesel,150,54.3,2.0,Audi,10,12756.599999999999,96540.0,Audi Q3,Compact SUV
A3,2014,Manual,Petrol,30,57.6,1.2,Audi,9,13326.599999999999,53097.0,Audi A3,Small family car
Q3,2017,Semi-Auto,Petrol,145,47.9,1.4,Audi,6,18525.0,61946.5,Audi Q3,Compact SUV
A1,2017,Manual,Petrol,30,56.5,1.4,Audi,6,17094.3,35069.764,Audi A1,Small car
Q3,2016,Manual,Diesel,145,52.3,2.0,Audi,7,19374.3,55343.164,Audi Q3,Compact SUV
A5,2017,Semi-Auto,Diesel,145,62.8,2.0,Audi,6,22970.999999999996,73153.185,Audi A5,Large family car
A1,2015,Manual,Petrol,235,39.8,2.0,Audi,8,16792.199999999997,67988.295,Audi A1,Small car
Q3,2016,Semi-Auto,Petrol,145,47.9,1.4,Audi,7,21659.999999999996,24311.99,Audi Q3,Compact SUV
A3,2016,Manual,Petrol,125,53.3,1.4,Audi,7,14249.999999999998,58543.465,Audi A3,Small family car
A1,2015,Semi-Auto,Petrol,30,56.5,1.4,Audi,8,15389.999999999998,59904.679,Audi A1,Small car
Q3,2016,Semi-Auto,Diesel,145,51.4,2.0,Audi,7,20919.0,49311.023,Audi Q3,Compact SUV
A3,2015,Manual,Diesel,0,74.3,1.6,Audi,8,10203.0,100900.39,Audi A3,Small family car
A5,2016,Semi-Auto,Petrol,165,44.1,1.8,Audi,7,19095.0,67331.823,Audi A5,Large family car
Q3,2015,Semi-Auto,Petrol,145,47.9,1.4,Audi,8,19380.0,70377.66,Audi Q3,Compact SUV
A3,2015,Semi-Auto,Petrol,20,60.1,1.4,Audi,8,14249.999999999998,79722.732,Audi A3,Small family car
Q3,2016,Manual,Diesel,145,52.3,2.0,Audi,7,20520.0,39584.618,Audi Q3,Compact SUV
A1,2015,Manual,Petrol,30,57.6,1.4,Audi,8,12482.999999999998,77713.091,Audi A1,Small car
A1,2016,Manual,Petrol,0,67.3,1.0,Audi,7,12539.999999999998,47188.752,Audi A1,Small car
A5,2015,Semi-Auto,Diesel,125,58.9,2.0,Audi,8,16527.719999999998,39980.432,Audi A5,Large family car
A3,2018,Manual,Petrol,145,60.1,1.0,Audi,5,21657.719999999998,19607.274,Audi A3,Small family car
Q3,2016,Semi-Auto,Diesel,160,50.4,2.0,Audi,7,19374.3,98567.34,Audi Q3,Compact SUV
A3,2014,Semi-Auto,Petrol,30,57.6,1.4,Audi,9,13104.3,63692.265,Audi A3,Small family car
A3,2016,Manual,Diesel,0,74.3,1.6,Audi,7,13104.3,33789.0,Audi A3,Small family car
Q3,2016,Manual,Diesel,30,61.4,2.0,Audi,7,17664.3,25005.469,Audi Q3,Compact SUV
Q3,2016,Manual,Diesel,125,60.1,2.0,Audi,7,18525.0,48014.169,Audi Q3,Compact SUV
A5,2014,Semi-Auto,Diesel,150,53.3,2.0,Audi,9,16866.3,84625.355,Audi A5,Large family car
A5,2016,Manual,Diesel,125,57.6,2.0,Audi,7,21084.3,40225.0,Audi A5,Large family car
A5,2016,Manual,Diesel,145,53.3,2.0,Audi,7,20121.0,50348.828,Audi A5,Large family car
Q3,2015,Semi-Auto,Diesel,150,54.3,2.0,Audi,8,16861.739999999998,79890.068,Audi Q3,Compact SUV
A1,2017,Manual,Petrol,145,67.3,1.0,Audi,6,12539.999999999998,30551.692,Audi A1,Small car
Q3,2014,Manual,Diesel,160,49.6,2.0,Audi,9,15948.599999999999,89677.615,Audi Q3,Compact SUV
Q3,2017,Manual,Petrol,150,49.6,1.4,Audi,6,21833.28,40225.0,Audi Q3,Compact SUV
A5,2014,Semi-Auto,Diesel,125,60.1,2.0,Audi,9,13953.599999999999,105477.995,Audi A5,Large family car
A3,2014,Manual,Petrol,30,54.3,1.4,Audi,9,15160.859999999999,38620.827,Audi A3,Small family car
A3,2015,Manual,Petrol,125,52.3,1.4,Audi,8,15367.199999999999,73092.043,Audi A3,Small family car
A1,2015,Manual,Diesel,0,80.7,1.6,Audi,8,12876.3,71600.5,Audi A1,Small car
A3,2020,Manual,Diesel,145,56.5,2.0,Audi,3,25074.3,8045.0,Audi A3,Small family car
