model,registration,gear,fuel,tax,mpg,engineSize,make,car_age,price,mileage,car,class
A3,2019,Manual,Petrol,145,49.6,1.0,Audi,4,18240.0,9177.736,Audi A3,Small family car
Q3,2017,Automatic,Petrol,145,40.4,2.0,Audi,6,24851.999999999996,31084.271,Audi Q3,Compact SUV
A5,2017,Manual,Petrol,145,49.6,2.0,Audi,6,21317.999999999996,32263.668,Audi A5,Large family car
Q3,2016,Manual,Diesel,30,60.1,2.0,Audi,7,18354.0,26815.594,Audi Q3,Compact SUV
A3,2016,Manual,Diesel,0,74.3,1.6,Audi,7,12881.999999999998,41232.234,Audi A3,Small family car
A3,2016,Manual,Petrol,20,60.1,1.4,Audi,7,16073.999999999998,16830.14,Audi A3,Small family car
A1,2017,Manual,Petrol,30,55.4,1.4,Audi,6,12881.999999999998,47187.143,Audi A1,Small car
Q3,2017,Manual,Petrol,125,51.4,1.4,Audi,6,17784.0,59072.826,Audi Q3,Compact SUV
A1,2014,Manual,Petrol,125,53.3,1.4,Audi,9,11399.999999999998,45573.316,Audi A1,Small car
A1,2016,Manual,Petrol,30,56.5,1.4,Audi,7,16530.0,19468.9,Audi A1,Small car
Q3,2017,Manual,Diesel,145,62.8,2.0,Audi,6,18354.0,28963.609,Audi Q3,Compact SUV
A1,2016,Manual,Petrol,30,55.4,1.4,Audi,7,12083.999999999998,46274.84,Audi A1,Small car
A3,2019,Semi-Auto,Petrol,145,44.1,1.5,Audi,4,29068.859999999997,6436.0,Audi A3,Small family car
Q3,2015,Automatic,Diesel,160,51.4,2.0,Audi,8,18468.0,48390.675,Audi Q3,Compact SUV
A1,2017,Manual,Petrol,30,58.9,1.4,Audi,6,15959.999999999998,20236.393,Audi A1,Small car
A1,2016,Manual,Diesel,0,76.3,1.6,Audi,7,12083.999999999998,25047.303,Audi A1,Small car
Q3,2019,Manual,Diesel,145,42.8,2.0,Audi,4,31919.999999999996,6436.0,Audi Q3,Compact SUV
Q3,2019,Manual,Petrol,145,42.2,1.5,Audi,4,31919.999999999996,6436.0,Audi Q3,Compact SUV
Q3,2017,Automatic,Diesel,160,50.4,2.0,Audi,6,19950.0,49367.337999999996,Audi Q3,Compact SUV
A1,2016,Manual,Petrol,0,67.3,1.0,Audi,7,11969.999999999998,29399.648,Audi A1,Small car
A1,2016,Manual,Diesel,0,76.3,1.6,Audi,7,11171.999999999998,58667.358,Audi A1,Small car
A3,2016,Manual,Petrol,30,57.6,1.4,Audi,7,17670.0,40829.984,Audi A3,Small family car
A3,2017,Manual,Diesel,20,67.3,2.0,Audi,6,13109.999999999998,103309.063,Audi A3,Small family car
A1,2017,Manual,Petrol,145,55.4,1.4,Audi,6,13793.999999999998,79196.58899999999,Audi A1,Small car
A1,2017,Manual,Diesel,0,76.3,1.6,Audi,6,14477.999999999998,43731.011,Audi A1,Small car
A5,2015,Automatic,Diesel,145,53.3,2.0,Audi,8,13109.999999999998,100832.812,Audi A5,Large family car
A5,2017,Automatic,Diesel,145,70.6,2.0,Audi,6,24053.999999999996,52728.539,Audi A5,Large family car
Q3,2018,Automatic,Petrol,145,40.4,2.0,Audi,5,27815.999999999996,21404.527,Audi Q3,Compact SUV
A3,2019,Manual,Petrol,145,44.8,1.5,Audi,4,21374.999999999996,4427.968,Audi A3,Small family car
Q3,2016,Manual,Diesel,160,49.6,2.0,Audi,7,18810.0,37500.962999999996,Audi Q3,Compact SUV
A1,2017,Manual,Petrol,150,67.3,1.0,Audi,6,12539.999999999998,55592.559,Audi A1,Small car
A3,2017,Manual,Diesel,150,68.9,1.6,Audi,6,15275.999999999998,40960.313,Audi A3,Small family car
Q3,2016,Automatic,Diesel,160,50.4,2.0,Audi,7,17670.0,19087.567,Audi Q3,Compact SUV
